{ 02 E0 2B 19 42 0C 00 00 1F 00 }, Delta:6.541ms, Position:[6443,3138], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 2C 19 42 0C 00 00 1F 00 }, Delta:10.110ms, Position:[6444,3138], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 2A 19 42 0C AF 01 1F 00 }, Delta:5.793ms, Position:[6442,3138], Pressure:431, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 2B 19 42 0C F1 01 1F 00 }, Delta:6.213ms, Position:[6443,3138], Pressure:497, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 2A 19 42 0C 2C 02 1F 00 }, Delta:8.074ms, Position:[6442,3138], Pressure:556, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 29 19 43 0C 56 02 1F 00 }, Delta:7.781ms, Position:[6441,3139], Pressure:598, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 29 19 43 0C 74 02 1F 00 }, Delta:5.999ms, Position:[6441,3139], Pressure:628, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 28 19 43 0C 91 02 1F 00 }, Delta:7.903ms, Position:[6440,3139], Pressure:657, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 29 19 44 0C B2 02 1F 00 }, Delta:8.152ms, Position:[6441,3140], Pressure:690, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 28 19 42 0C CB 02 1F 00 }, Delta:7.903ms, Position:[6440,3138], Pressure:715, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 28 19 43 0C D7 02 1F 00 }, Delta:10.300ms, Position:[6440,3139], Pressure:727, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 29 19 43 0C D8 02 1F 00 }, Delta:3.836ms, Position:[6441,3139], Pressure:728, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 29 19 43 0C D9 02 1F 00 }, Delta:11.006ms, Position:[6441,3139], Pressure:729, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 29 19 43 0C D9 02 1F 00 }, Delta:4.943ms, Position:[6441,3139], Pressure:729, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 29 19 43 0C C5 02 1F 00 }, Delta:6.192ms, Position:[6441,3139], Pressure:709, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 27 19 42 0C 89 02 1F 00 }, Delta:7.877ms, Position:[6439,3138], Pressure:649, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E1 1F 19 3F 0C 1D 02 1F 00 }, Delta:8.122ms, Position:[6431,3135], Pressure:541, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
